"id";"product_key";"price";"product_url";"product_name";"date";"dealer_id"
2;"546227";233.00;https://akson.ru//p/sredstvo_universalnoe_prosept_universal_spray_500ml/;Средство универсальное Prosept Universal Spray, 500мл;2023-07-11;2
3;"546408";175.00;https://akson.ru//p/kontsentrat_prosept_multipower_dlya_mytya_polov_tsitrus_1l/;Концентрат Prosept Multipower для мытья полов, цитрус 1л;2023-07-11;2
4;"546234";285.00;https://akson.ru//p/sredstvo_dlya_chistki_lyustr_prosept_universal_anti_dust_500ml/;Средство для чистки люстр Prosept Universal Anti-dust, 500мл;2023-07-11;2
5;"651258";362.00;https://akson.ru//p/udalitel_rzhavchiny_prosept_rust_remover_0_5l_023_05/;Удалитель ржавчины PROSEPT RUST REMOVER 0,5л 023-05;2023-07-11;2
6;"546355";205.00;https://akson.ru//p/sredstvo_moyushchee_dlya_bani_i_sauny_prosept_multipower_wood_1l/;Средство моющее для бани и сауны Prosept Multipower Wood 1л;2023-07-11;2
7;"831859";370.00;https://akson.ru//p/propitka_prosept_aquaisol_dlya_kamnya_kontsentrat_1_2_1l/;Пропитка PROSEPT Aquaisol для камня, концентрат  1:2  1л;2023-07-11;2
8;"546406";235.00;https://akson.ru//p/sredstvo_dlya_mytya_plitki_i_keramogranita_prosept_multipower_kerama_1l/;Средство для мытья плитки и керамогранита Prosept Multipower Kerama 1л;2023-07-11;2
9;"831858";1648.00;https://akson.ru//p/propitka_prosept_aquaisol_dlya_kamnya_kontsentrat_1_2_5l/;Пропитка PROSEPT Aquaisol для камня, концентрат  1:2   5л;2023-07-11;2
10;"857015";371.00;https://akson.ru//p/shpatlevka_zamazka_proseptn_plastix_dlya_zadelki_glubokih_vyboin_i_treschin_1_4kg/;Шпаклевка выравнивающая акриловая PROSEPT Plastix белая, 1 кг.;2023-07-11;2
11;"651265";235.00;https://akson.ru//p/sol_dlya_posudomoechnykh_mashin_prosept_splash_1_5kg_280_15/;Соль для посудомоечных машин PROSEPT Splash 1,5кг 280-15;2023-07-11;2
12;"546257";182.00;https://akson.ru//p/sredstvo_dlya_mytya_stekol_i_zerkal_prosept_optic_crystal_500ml/;Средство для мытья стекол и зеркал Prosept Optic Crystal, 500мл;2023-07-11;2
13;"831854";566.00;https://akson.ru//p/antiseptik_prosept_eco_ultra_nevymyvaemyy_korichnevyy_gotovyy_sostav_5l/;Антисептик PROSEPT Eco Ultra невымываемый, коричневый, готовый состав 5л;2023-07-11;2
14;"831857";559.00;https://akson.ru//p/ochistitel_fasadov_prosept_salt_cleaner_kontsentrat_1_2_1l/;Очиститель фасадов  PROSEPT Salt Cleaner, концентрат 1:2  1л;2023-07-11;2
15;"382757";1037.00;https://akson.ru//p/antiseptik_prosept_eco_ultra_nevymyvaemyy_dlya_otvetstvennyh_konstruktsiy_10l/;Пропитка-антисептик PROSEPT Eco Ultra невымываемая для ответственных конструкций 10л;2023-07-11;2
16;"546322";245.00;https://akson.ru//p/sredstvo_kontsentrirovannoe_prosept_duty_extra_dlya_uborki_posle_stroitelstva_1l/;Средство концентрированное Prosept Duty Extra для уборки после строительства 1л;2023-07-11;2
17;"831860";2496.00;https://akson.ru//p/udalitel_tsementa_prosept_cement_cleaner_kontsentrat_1_2_5l/;Удалитель цемента  PROSEPT Cement Cleaner, концентрат 1:2  5л;2023-07-11;2
18;"832157";3762.00;https://akson.ru//p/antiseptik_prosept_ultra_nevymyvaemyy_korichnevyy_kontsentrat_1_10_5l/;Антисептик PROSEPT Ultra невымываемый , коричневый концентрат 1:10  5л;2023-07-11;2
19;"382745";1771.00;https://akson.ru//p/ognebiozaschita_prosept_prof_1_gruppa_dlya_naruzhnyh_i_vnutrennih_rabot_10l/;Огнебиозащита PROSEPT prof 1 группа для наружных и внутренних работ 10л;2023-07-11;2
20;"831863";460.00;https://akson.ru//p/antiseptik_prosept_interior_dlya_vnutrennih_rabot_kontsentrat_1_10_1l/;Антисептик PROSEPT Interior для внутренних работ, концентрат 1:10  1л;2023-07-11;2
21;"856331";349.00;https://akson.ru//p/shpatlevka_dlya_plit_osb_proplast_1_3_kg/;Шпаклевка для OSB-плит акриловая PROSEPT Proplast белая, 1 кг.;2023-07-11;2
22;"695083";243.00;https://akson.ru//p/antiseptik_grunt_prosept_osb_base_dlya_osb_1l/;Антисептик-грунт PROSEPT ОSB BASE для OSB 1л;2023-07-11;2
23;"831856";2504.00;https://akson.ru//p/ochistitel_fasadov_prosept_salt_cleaner_kontsentrat_1_2_5l/;Очиститель фасадов  PROSEPT Salt Cleaner, концентрат 1:2  5л;2023-07-11;2
24;"546294";253.00;https://akson.ru//p/sredstvo_dlya_izdeliy_iz_kozhi_prosept_duty_leather_ochistka_i_ukhod_400ml/;Средство для изделий из кожи Prosept Duty Leather очистка и уход, 400мл;2023-07-11;2
25;"546360";229.00;https://akson.ru//p/cprey_dlya_ochistki_polkov_v_banyakh_i_saunakh_prosept_universal_wood_500ml/;Cпрей для очистки полков в банях и саунах Prosept Universal Wood 500мл;2023-07-11;2
26;"832158";1783.00;https://akson.ru//p/antiseptik_prosept_interior_dlya_vnutrennih_rabot_kontsentrat_1_10_5l/;Антисептик PROSEPT Interior для внутренних работ , концентрат 1:10 5л;2023-07-11;2
27;"831853";1037.00;https://akson.ru//p/antiseptik_prosept_eco_ultra_nevymyvaemyy_korichnevyy_gotovyy_sostav_10l/;Антисептик PROSEPT Eco Ultra невымываемый, коричневый, готовый состав 10л;2023-07-11;2
28;"832159";546.00;https://akson.ru//p/antiseptik_prosept_eco_interior_dlya_vnutrennih_rabot_gotovyy_sostav_5l/;Антисептик PROSEPT Eco Interior для внутренних работ, готовый состав  5л;2023-07-11;2
29;"546405";382.00;https://akson.ru//p/maslo_dlya_zashchity_polkov_prosept_sauna_oil_250ml_gotovyy_sostav/;Масло для защиты полков Prosept Sauna Oil, 250мл  готовый состав;2023-07-11;2
30;"831855";784.00;https://akson.ru//p/antiseptik_prosept_ultra_nevymyvaemyy_korichnevyy_gotovyy_sostav_1_l/;Антисептик PROSEPT Ultra невымываемый, коричневый, готовый состав 1 л;2023-07-11;2
31;"856995";1798.00;https://akson.ru//p/shpatlevka_dlya_plit_osb_proplast_7_0_kg/;Шпаклевка для OSB-плит акриловая PROSEPT Proplast белая, 7 кг.;2023-07-11;2
32;"382756";559.00;https://akson.ru//p/antiseptik_prosept_eco_exterior_trudnovymyvaemyy_dlya_naruzhnyh_rabot_5l/;Пропитка-антисептик PROSEPT Eco Exterior трудновымываемая для наружных работ 5л;2023-07-11;2
33;"856325";308.00;https://akson.ru//p/otbelivatel_dlya_drevesiny_prosept_eco_50_gotovyy_sostav_1_kg/;Отбеливатель для древесины PROSEPT ECO 50 готовый  состав / 1 кг;2023-07-11;2